Diffusion Energy,Rotation Energy,Coupling Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.5555555555555556,1.1,0.8666666666666667,"{3: 32.0, 2: 18.0, 1: 10.0}",7.440910648038741,0.23761279219521025,0.960617434015716,0.030675679567263137
0.5555555555555556,1.1,0.9111111111111111,"{3: 35.0, 2: 17.5, 1: 7.5}",7.382822237665518,0.11013742087024925,0.9531182524829442,0.014218679894157094
0.5555555555555556,1.1,0.9555555555555555,"{3: 35.0, 2: 15.0, 1: 10.0}",7.131616212199388,0.09885557200821093,0.9206876940463683,0.012762199468920321
0.5555555555555556,1.1,1.0,"{3: 31.5, 2: 19.0, 1: 9.5}",7.678815159721366,0.3207508007264597,0.9913307744068632,0.04140875031654245
0.5555555555555556,1.3,0.6,"{3: 29.0, 2: 17.0, 1: 14.0}",8.041014837592341,0.46262817257950095,1.0380905517533958,0.059725040262892604
0.5555555555555556,1.3,0.6444444444444444,"{3: 33.0, 2: 18.0, 1: 9.0}",7.7655269844568044,0.2675642982036619,1.0025252228441834,0.03454240236608197
0.5555555555555556,1.3,0.6888888888888889,"{3: 36.0, 1: 11.5, 2: 12.5}",7.493990944165088,0.3913505900432499,0.9674700707793527,0.05052314392553181
0.5555555555555556,1.3,0.7333333333333333,"{3: 32.0, 2: 17.0, 1: 11.0}",7.505699403359737,0.08435256542736047,0.9689816263617068,0.010889869370334593
0.5555555555555556,1.3,0.7777777777777778,"{3: 36.5, 2: 15.0, 1: 8.5}",7.212784543012731,0.0670010154895091,0.931166480495686,0.008649793905661785
0.5555555555555556,1.3,0.8222222222222222,"{3: 31.0, 2: 19.0, 1: 10.0}",7.855651604811577,0.09122059610985156,1.0141602613014267,0.011776528318818924
0.5555555555555556,1.3,0.8666666666666667,"{3: 34.5, 2: 16.0, 1: 9.5}",7.287824594961258,0.4868851173759894,0.9408541095455254,0.06285659837044832
0.5555555555555556,1.3,0.9111111111111111,"{3: 34.0, 2: 20.0, 1: 6.0}",7.174672170227629,0.0710737081021744,0.9262461943263143,0.009175576261097607
0.5555555555555556,1.3,0.9555555555555555,"{3: 31.5, 2: 18.0, 1: 10.5}",7.668613490478316,0.0024540869699340995,0.9900137445708017,0.000316821265489986
0.5555555555555556,1.3,1.0,"{3: 34.0, 2: 17.5, 1: 8.5}",7.357931876948884,0.03341065634264462,0.9499049207317236,0.0043132971866973735
0.6111111111111112,0.9,0.6,"{3: 32.0, 2: 17.0, 1: 11.0}",8.319060584295693,0.694848420989171,1.0739861033022586,0.08970454542098594
0.6111111111111112,0.9,0.6444444444444444,"{3: 32.0, 2: 20.0, 1: 8.0}",7.558541431628348,0.5779333715171893,0.9758035028771785,0.0746108774367859
0.6111111111111112,0.9,0.6888888888888889,"{3: 33.5, 2: 19.0, 1: 7.5}",7.577624799164061,0.3516108372499418,0.9782671550323576,0.04539276390050234
0.6111111111111112,0.9,0.7333333333333333,"{3: 33.0, 2: 16.5, 1: 10.5}",7.295354023227328,0.2291983813273033,0.9418261545548906,0.02958938379527809
0.6111111111111112,0.9,0.7777777777777778,"{3: 32.5, 2: 18.5, 1: 9.0}",8.007243766851747,0.5939673881736498,1.0337307252679988,0.07668086008622876
0.6111111111111112,0.9,0.8222222222222222,"{3: 33.5, 2: 16.0, 1: 10.5}",7.36079969265771,0.15326120083464456,0.9502751541477328,0.019785935948410993
0.6111111111111112,0.9,0.8666666666666667,"{3: 35.0, 1: 9.0, 2: 16.0}",7.4595059385934945,0.18691660909361207,0.9630180757035977,0.024130830471637332
0.6111111111111112,0.9,0.9111111111111111,"{3: 34.5, 2: 19.0, 1: 6.5}",6.98137920464589,0.05461950042631836,0.9012921797717437,0.007051347184309997
