Diffusion Energy,Rotation Energy,Coupling Energy,Dehalogenation Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.75,0,0.0,0.0,"{3: 20.0, 2: 18.0, 1: 10.0}",7.45825752060631,0.3335104901800918,1.0765067468019012,0.048138092820760016
0.75,0,0.0,0.375,"{3: 25.666666666666668, 2: 13.333333333333334, 1: 9.0}",6.67829594582345,0.1781263617177267,0.9639289905122889,0.025710325721874545
0.75,0,0.0,0.75,"{3: 23.333333333333332, 2: 14.0, 1: 10.666666666666666}",6.920013355843302,0.18708501569734481,0.998817893447984,0.02700339604355188
0.75,0,0.0,1.125,"{3: 20.666666666666668, 2: 17.333333333333332, 1: 10.0}",7.251292758699653,0.36630012467058615,1.046633956552007,0.05287086889568908
0.75,0,0.0,1.5,"{3: 23.333333333333332, 2: 18.666666666666668, 1: 6.0}",6.645850189552442,0.07744041118839169,0.959245848983007,0.011177560561443332
0.75,0,0.375,0.0,"{3: 23.333333333333332, 2: 17.333333333333332, 1: 7.333333333333333}",6.88082628765865,0.27030798105353315,0.9931617273566937,0.039015596406340364
0.75,0,0.375,0.375,"{3: 19.666666666666668, 2: 18.666666666666668, 1: 9.666666666666666}",7.416292861362078,0.17526622625433558,1.070449669974124,0.02529750072694764
0.75,0,0.375,0.75,"{3: 25.333333333333332, 2: 16.666666666666668, 1: 6.0}",6.6538210146760575,0.27129094165794243,0.9603963384907027,0.039157474548730066
0.75,0,0.375,1.125,"{3: 20.666666666666668, 2: 18.0, 1: 9.333333333333334}",7.060413976306251,0.48001624377773305,1.0190829774526524,0.06928437689011678
0.75,0,0.375,1.5,"{2: 16.0, 3: 20.0, 1: 12.0}",7.507092316267998,0.5340437121729488,1.0835554424071752,0.07708257024551975
0.75,0,0.75,0.0,"{3: 22.0, 2: 17.0, 1: 9.0}",7.013877872620234,0.15531423644452047,1.0123660694551129,0.02241767905505629
0.75,0,0.75,0.375,"{3: 19.666666666666668, 2: 19.0, 1: 9.333333333333334}",7.768914720085921,0.3602580065613323,1.1213462512382133,0.05199876426647574
0.75,0,0.75,0.75,"{3: 23.333333333333332, 2: 16.666666666666668, 1: 8.0}",6.826508393133935,0.2907697497347856,0.9853216146002793,0.041968998320394656
0.75,0,0.75,1.125,"{2: 14.666666666666666, 3: 24.333333333333332, 1: 9.0}",6.897800482227431,0.35852080105685025,0.9956117413075843,0.05174802025006316
0.75,0,0.75,1.5,"{3: 22.333333333333332, 2: 15.333333333333334, 1: 10.333333333333334}",7.078081209568533,0.3598597360663536,1.021633022922606,0.05194127887210423
0.75,0,1.125,0.0,"{3: 19.333333333333332, 2: 21.333333333333332, 1: 7.333333333333333}",7.357348517442399,0.21363068755660958,1.061941786766816,0.030834933741993337
0.75,0,1.125,0.375,"{3: 21.0, 2: 20.666666666666668, 1: 6.333333333333333}",6.74166166424024,0.07849330772714154,0.9730750441586209,0.01132953308646234
0.75,0,1.125,0.75,"{2: 15.666666666666666, 3: 23.666666666666668, 1: 8.666666666666666}",6.891744007774302,0.18969076641349694,0.9947375645186209,0.027379503762904742
0.75,0,1.125,1.125,"{3: 21.0, 2: 17.333333333333332, 1: 9.666666666666666}",6.981289468382003,0.2534943701456921,1.0076623384652623,0.03658876071041746
0.75,0,1.125,1.5,"{2: 14.0, 3: 23.0, 1: 11.0}",6.892265271685439,0.31251115342518,0.9948128024834743,0.04510709963869698
